*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20090101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
1   2009 297  168000   7.2  14.7  1.31   4.2   7.2
1   2009 298  620000  10.6  16.3  1.54   4.7   0.0
1   2009 299  218000  11.1  14.3  1.47   4.3   3.4
1   2009 300  546000  10.2  15.8  1.50   2.0   0.0
1   2009 301  733000   8.6  15.8  1.42   2.0   0.0
1   2009 302  383000  10.8  16.0  1.54   1.0   0.0
1   2009 303  443000   8.1  14.3  1.33   3.0   0.0
1   2009 304  467000   8.1  12.9  1.27   3.0   0.0
1   2009 305  183000  11.7  15.5  1.56   4.4  14.3
1   2009 306  403000   5.0  12.5  1.13   3.1   0.2
1   2009 307  285000   3.2  10.9  1.00   4.5   6.0
1   2009 308  262000   6.2  10.3  1.09   3.7   2.8
1   2009 309  202000   6.6  10.2  1.10   3.9  11.4
1   2009 310  237000   6.7  10.1  1.10   4.4   0.7
1   2009 311  184000   2.2  10.0  0.94   3.5   4.4
1   2009 312  633000   0.9   9.5  0.88   2.4   0.0
1   2009 313  189000   4.3   8.6  0.96   2.8   0.0
1   2009 314  169000   4.9   9.1  1.00   1.9   3.5
1   2009 315  144000   5.0   8.7  0.99   3.6   0.0
1   2009 316  314000   2.9  13.5  1.09   3.8   1.8
1   2009 317  153000  10.1  16.4  1.52   5.6   1.8
1   2009 318  287000  11.6  14.4  1.50   6.8   2.1
1   2009 319  147000   6.7  12.3  1.19   4.0   6.3
1   2009 320  155000   5.8  15.0  1.26   4.7   0.7
1   2009 321  275000   8.9  12.7  1.29   4.9   0.0
1   2009 322   88000   8.9  13.4  1.33   8.0   1.5
1   2009 323  448000   8.7  12.8  1.29   5.5   0.0
1   2009 324  334000   8.9  15.2  1.41   4.9   4.4
1   2009 325  429000   9.8  16.0  1.49   3.5   0.8
1   2009 326  345000   8.2  13.8  1.31   6.9   5.9
1   2009 327  126000   8.3  13.0  1.28   7.4  19.0
1   2009 328  142000   9.5  14.1  1.38   6.3   0.9
1   2009 329   96000   9.1  13.2  1.33   7.5   3.1
1   2009 330  146000   5.9   9.4  1.05   7.0  10.4
1   2009 331  270000   5.4   8.7  1.00   6.2   5.6
1   2009 332  164000   6.1   9.0  1.04   5.8  11.2
1   2009 333   90000   7.6  10.4  1.15   4.8   1.2
1   2009 334  226000   2.3   7.7  0.87   3.0   0.0
1   2009 335  367000  -0.8   8.5  0.80   1.9   0.3
1   2009 336  119000   0.1   6.4  0.77   4.1   2.9
1   2009 337   92000   5.5   9.7  1.04   4.7   6.1
1   2009 338   76000   3.0   7.0  0.87   4.8   6.7
1   2009 339   98000   4.3   9.6  1.00   4.8   6.8
1   2009 340   87000   7.6  12.1  1.22   5.3   6.4
1   2009 341  203000   5.8   8.8  1.02   4.3   0.0
1   2009 342  203000   2.3   9.3  0.92   2.7   2.4
1   2009 343   63000   3.3   9.3  0.95   3.0   2.8
1   2009 344  158000   8.7  10.8  1.21   3.9   6.1
1   2009 345  160000   2.9   9.2  0.94   3.6   0.0
1   2009 346  302000   2.2   5.6  0.81   3.6   0.0
1   2009 347  295000  -2.0   3.4  0.64   3.0   0.0
1   2009 348  111000  -4.9  -1.2  0.49   2.0   0.0
1   2009 349  492000  -6.8   1.4  0.50   1.7   0.0
1   2009 350  174000  -7.4   0.6  0.48   2.6   0.0
1   2009 351   69000  -2.5  -0.3  0.55   4.1   3.8
1   2009 352  362000  -6.1  -0.6  0.48   3.3   0.0
1   2009 353  286000 -11.5  -4.7  0.33   3.0   0.5
1   2009 354   89000  -6.2   0.3  0.49   5.0   8.4
1   2009 355  223000  -5.3  -0.1  0.50   3.7   1.6
1   2009 356  179000  -0.6   2.6  0.66   3.2   1.7
1   2009 357  155000  -2.3   0.9  0.58   4.1   0.0
1   2009 358  302000  -2.7   2.0  0.60   3.1   1.8
1   2009 359   73000   0.2   4.6  0.73   4.5  15.0
1   2009 360  338000   1.9   5.6  0.80   4.9   0.0
1   2009 361  193000   2.6   5.1  0.80   5.3   3.9
1   2009 362  310000  -2.5   7.3  0.73   2.3   0.0
1   2009 363  199000  -1.4   1.7  0.62   4.3   5.5
1   2009 364   35000  -0.3   0.9  0.62   4.1   1.7
1   2009 365   72000  -0.5   0.5  0.61   4.9   0.0
